Collecting sample 1 of 20...
Collecting sample 2 of 20...
Collecting sample 3 of 20...
Collecting sample 4 of 20...
Collecting sample 5 of 20...
Collecting sample 6 of 20...
Collecting sample 7 of 20...
Collecting sample 8 of 20...
Collecting sample 9 of 20...
Collecting sample 10 of 20...
Collecting sample 11 of 20...
Collecting sample 12 of 20...
Collecting sample 13 of 20...
Collecting sample 14 of 20...
Collecting sample 15 of 20...
Collecting sample 16 of 20...
Collecting sample 17 of 20...
Collecting sample 18 of 20...
Collecting sample 19 of 20...
Collecting sample 20 of 20...
index,temperature_C
0,24.40
1,24.37
2,24.40
3,24.37
4,24.42
5,24.53
6,24.68
7,25.08
8,25.61
9,31.22
10,33.49
11,34.34
12,34.63
13,31.83
14,29.95
15,28.46
16,27.38
17,26.67
18,25.96
19,25.45
0,24.40
1,24.37
2,24.33
3,24.37
4,24.37
5,24.33
6,24.29
7,26.11
8,30.27
9,31.83
10,32.37
11,32.70
12,32.87
13,32.87
14,33.25
15,30.89
16,30.06
17,28.83
18,27.36
19,26.45
Sample #0, 24.13
°Sample #1, 24.18
°Sample #2, 24.13
°Sample #3, 24.29
°Sample #4, 29.69
°Sample #5, 33.04
°Sample #6, 34.07
°Sample #7, 34.46
°Sample #8, 34.68
°Sample #9, 34.78
°Sample #10, 34.34
°Sample #11, 33.11
°Sample #12, 33.61
°Sample #13, 32.42
°Sample #14, 31.69
°Sample #15, 29.26
°Sample #16, 27.72
°Sample #17, 26.76
°Sample #18, 25.92
°Sample #19, 25.63
°Sample: #0, 24.33°
Sample: #1, 24.33°
Sample: #2, 24.46°
Sample: #3, 31.52°
Sample: #4, 33.54°
Sample: #5, 34.00°
Sample: #6, 34.39°
Sample: #7, 34.32°
Sample: #8, 34.36°
Sample: #9, 34.39°
Sample: #10, 34.51°
Sample: #11, 33.11°
Sample: #12, 31.10°
Sample: #13, 29.69°
Sample: #14, 28.71°
Sample: #15, 27.86°
Sample: #16, 27.03°
Sample: #17, 26.40°
Sample: #18, 25.94°
Sample: #19, 25.56°
Sample: #0, 24.37°C
Sample: #1, 24.40°C
Sample: #2, 24.53°C
Sample: #3, 26.60°C
Sample: #4, 31.20°C
Sample: #5, 32.70°C
Sample: #6, 33.37°C
Sample: #7, 33.73°C
Sample: #8, 34.15°C
Sample: #9, 34.27°C
Sample: #10, 34.39°C
Sample: #11, 34.32°C
Sample: #12, 33.21°C
Sample: #13, 31.08°C
Sample: #14, 29.24°C
Sample: #15, 28.01°C
Sample: #16, 27.25°C
Sample: #17, 26.71°C
Sample: #18, 25.98°C
Sample: #19, 25.74°C
#0, 24.64°C
#1, 24.55°C
#2, 24.68°C
#3, 24.66°C
#4, 24.68°C
#5, 24.75°C
#6, 24.48°C
#7, 24.64°C
#8, 24.51°C
#9, 24.40°C
#10, 24.42°C
#11, 24.42°C
#12, 24.31°C
#13, 26.60°C
#14, 29.79°C
#15, 31.15°C
#16, 32.06°C
#17, 32.30°C
#18, 32.59°C
#19, 32.70°C
#0, 24.27°C
#1, 24.20°C
#2, 24.31°C
#3, 24.27°C
#4, 24.31°C
#5, 24.35°C
#6, 24.37°C
#7, 24.37°C
#8, 24.31°C
#9, 24.29°C
#10, 24.29°C
#11, 24.33°C
#12, 24.31°C
#13, 24.31°C
#14, 24.31°C
#15, 24.29°C
#16, 24.35°C
#17, 24.37°C
#18, 24.33°C
#19, 24.07°C
